#maxfreq, staticgain, fitlevel, absmax
400000,1.3448991505750953,0.3450174353355666,0.00013392909770866627
410000,1.3443243976945485,0.34443016081180344,0.00012129802718576756
420000,1.343825662431628,0.3439224406766675,0.00010957513124029707
430000,1.3433514039539838,0.34343858461840504,9.895330307967239e-05
440000,1.3429123629325925,0.3429925115681256,8.99980093853202e-05
450000,1.3424980099361972,0.34257293547112655,8.258901133959695e-05
460000,1.3419421075557407,0.3420081524511543,7.966981963809779e-05
470000,1.3416516887920007,0.34171078528861276,7.025165996337464e-05
480000,1.3412951207114865,0.3413487132091231,6.461973189124834e-05
490000,1.3410220954497123,0.3410742496846445,5.9195211357553744e-05
500000,1.3407556134526948,0.3408038043449122,5.3561355719564906e-05
510000,1.3404143649917488,0.340456309507861,4.978721724525936e-05
520000,1.3401707725746883,0.34021157338058394,4.617236353484824e-05
530000,1.3398953171965036,0.3399340232370218,4.3592733123286605e-05
540000,1.3396204931611448,0.3396532332775264,3.993498072107275e-05
550000,1.339450275677204,0.33948400483922125,3.715655268870659e-05
560000,1.3392285720297692,0.3392586751416786,3.414511051945663e-05
570000,1.3389825340968704,0.33901052604024157,3.262721999501166e-05
580000,1.338771323540942,0.3387970499205806,3.062692541292531e-05
590000,1.3386560807138679,0.33868208861798077,2.807653927288337e-05
600000,1.338465431418186,0.3384884854670031,2.600007222558874e-05
610000,1.338273971050543,0.3382948585570884,2.44912810769849e-05
620000,1.3380968300347096,0.33811668673812667,2.3392894625633264e-05
630000,1.3379954338979498,0.33801485344952104,2.1423768238733352e-05
640000,1.3378134052305386,0.3378314897328665,2.067065824584923e-05
650000,1.3376991644881921,0.3377164000932801,1.915428420739721e-05
660000,1.337577583427233,0.3375933320203009,1.7667958636294568e-05
670000,1.337433556925433,0.337449128430792,1.7216049306789374e-05
680000,1.3373022441532805,0.3373163162383117,1.6141996140687844e-05
690000,1.3371766980820263,0.3371896924675202,1.52686125835536e-05
700000,1.3371081571715933,0.33712039737539506,1.3832842957079352e-05
710000,1.336984769393552,0.33699692048071667,1.3551478003775313e-05
720000,1.3368812713291356,0.336892673401166,1.2810732783496852e-05
730000,1.3368140544231015,0.3368247195567937,1.169037675085039e-05
740000,1.3367304978195138,0.3367405245854302,1.0913561688636895e-05
750000,1.3366276412169709,0.33663675082070577,1.0332928620933515e-05
760000,1.3365416188282255,0.3365510357791324,1.0121079282852585e-05
770000,1.3364154856983,0.33642421451171345,1.0018162177050682e-05
780000,1.3363388315625753,0.3363464573049103,9.212828008478027e-06
790000,1.336257784462037,0.3362654076459692,8.970933411381874e-06
800000,1.3361612596928094,0.3361681646380198,8.64098225630851e-06
